bookkeeping,category,child_dialect_count,child_family_count,child_language_count,description,family_pk,father_pk,hid,id,jsondata,latitude,level,longitude,macroareas,markup_description,name,newick,pk
False,Spoken L1 Language,0,0,0,,86,2170,aiw,aari1239,"{""meds"": [[""79160"", ""grammar_sketch"", 1990, 69, ""Hayward, Richard J. 1990""], [""143176"", ""grammar_sketch"", 1989, 0, ""Zufan, Berhanu 1989""], [""158834"", ""grammar_sketch"", 1987, 0, ""Aberra, Daniel 1987""], [""120356"", ""phonology_or_text"", 1980, 0, ""Teman, Ahmed 1980""], [""154125"", ""wordlist_or_less"", 1965, 84, ""Fleming, Harold C. 1965""], [""126960"", ""wordlist_or_less"", 1950, 3, ""Pauli, Elisabeth 1950""], [""9822"", ""wordlist_or_less"", 1941, 1, ""da Trento, Gabriele 1941""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q7495""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Aari_language""}, {""label"": null, ""url"": ""https://phoible.org/languages/aari1239""}, {""label"": ""Aari"", ""url"": ""https://wals.info/languoid/lect/wals_code_aar""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",5.95034,language,36.5721,Africa,,Aari,'Aari [aari1239][aiw]-l-':1,3867
True,Bookkeeping,0,0,0,,335,335,aay,aari1240,"{""meds"": [[""500083"", ""wordlist_or_less"", 2008, 0, ""ISO 639-3 Registration Authority 2008""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q4661732""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Aariya_language""}], ""ethnologue_comment"": null, ""iso_retirement"": {""code"": ""aay"", ""name"": ""Aariya"", ""effective"": ""2009-01-16"", ""change_request"": ""2008-001"", ""remedy"": null, ""change_to"": [], ""reason"": ""non-existent"", ""comment"": ""The only reference for this language is\n\n\nHugoniot, Richard.1970. A bibliographical Index of the Lesser Known Languages\nand Dialects of India and Nepal. Waxhaw: Summer Institute of Linguistics.\n\n\nHugoniot's source was [Madhya Pradesh Dept. of Tribal Welfare, The Tribes of\nMadhya Pradesh, Bhopal 1964.] Aariya was listed as a Scheduled Tribe at that\ntime but not listed in the more recent Anthropological Society of India research\non peoples of India edited by K.S. Singh. Surveyors in the area in 2004 found\nnobody who had even heard of this language.""}}",,language,,Eurasia,,Aariya,'Aariya [aari1240][aay]-l-':1,1397
False,Spoken L1 Language,0,0,0,,187,2600,aas,aasa1238,"{""meds"": [[""52784"", ""wordlist_or_less"", 1969, 18, ""Fleming, Harold 1969""], [""476915"", ""wordlist_or_less"", 1928, 18, ""Maguire, R. A. J. 1928""], [""115119"", ""wordlist_or_less"", 1910, 244, ""Merker, Moritz 1910""], [""7885"", ""wordlist_or_less"", 1904, 228, ""Merker, Moritz 1904""]], ""links"": [{""label"": ""Aas\u00e1x"", ""url"": ""http://endangeredlanguages.com/lang/3581""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q56620""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Asa_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-4.00679,language,36.8648,Africa,,Aasax,'Aasax [aasa1238][aas]-l-':1,4263
False,Spoken L1 Language,0,0,0,,208,19823,kbt,abad1241,"{""meds"": [[""320579"", ""grammar_sketch"", 2013, 40, ""Oa, Morea and Paul, Ma'oni 2013""], [""56956"", ""wordlist_or_less"", 2011, 10, ""Kassell, Alison and Potter, Margaret 2011""], [""326181"", ""wordlist_or_less"", 1895, 10, ""Anonymous, {} 1895""], [""309880"", ""wordlist_or_less"", 1892, 5, ""J. P. Thomson 1892""], [""57662"", ""wordlist_or_less"", 1891, 4, ""Z\u00f6ller, Hugo 1891""], [""52221"", ""wordlist_or_less"", 1890, 1, ""Lawes, W. G. 1890""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q3291159""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abadi_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-9.03389,language,146.992,Papunesia,,Abadi,'Abadi [abad1241][kbt]-l-':1,21477
False,Spoken L1 Language,0,0,0,,146,11389,abg,abag1245,"{""meds"": [[""64314"", ""wordlist_or_less"", 1970, 1, ""Oren R. Claassen and Kenneth A. McElhanon 1970""]], ""links"": [{""label"": ""Abaga"", ""url"": ""http://endangeredlanguages.com/lang/2011""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q3507954""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abaga_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-6.12028,language,145.665,Papunesia,,Abaga,'Abaga [abag1245][abg]-l-':1,14265
False,Spoken L1 Language,0,0,0,,208,9150,abf,abai1240,"{""meds"": [[""51700"", ""wordlist_or_less"", 1984, 2, ""King, Julie K. 1984""]], ""links"": [{""label"": ""Abai Sungai"", ""url"": ""http://endangeredlanguages.com/lang/3584""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q4663287""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Sungai_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",5.55394,language,118.306,Papunesia,,Abai Sungai,'Abai Sungai [abai1240][abf]-l-':1,12194
False,Spoken L1 Language,0,0,0,,208,9154,NOCODE_Abai-Tubu-Sembuak,abai1241,"{""meds"": [[""318351"", ""wordlist_or_less"", 2013, 5, ""Jason William Lobel 2013""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q19570729""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abai_language""}], ""ethnologue_comment"": {""comment_type"": ""missing"", ""ethnologue_versions"": [""E16"", ""E17"", ""E18"", ""E19"", ""E20"", ""E21"", ""E22"", ""E23""], ""comment"": ""The language spoken by the Abai Tubu and Abai Sembuak is different from all other Murutic languages, and is missing from E16/E17/E18/E19/E20/E21/E22/E23 (**hh:hv:Lobel:Southwest-Sabah:OL**). I wish to thank Jason Lobel for clarifying the status of Abai Tubu-Sembuak to me."", ""isohid"": ""NOCODE_Abai-Tubu-Sembuak""}, ""iso_retirement"": null}",3.524226,language,116.162455,Papunesia,,Abai Tubu-Abai Sembuak,'Abai Tubu-Abai Sembuak [abai1241]-l-':1,12203
False,Spoken L1 Language,0,0,0,,70,18709,abm,aban1242,"{""meds"": [[""70197"", ""wordlist_or_less"", 1997, 4, ""Piron, Pascale 1997""], [""47578"", ""wordlist_or_less"", 1996, 4, ""Piron, Pascale 1996""], [""64189"", ""wordlist_or_less"", 1973, 2, ""Williamson, Kay 1973""], [""150176"", ""wordlist_or_less"", 1914, 2, ""Thomas, Northcote Whitridge 1914""], [""66179"", ""wordlist_or_less"", 1854, 1, ""Koelle, Sigismund W. 1854""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q7502""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abanyom_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",6.30619,language,8.63055,Africa,,Abanyom,'Abanyom [aban1242][abm]-l-':1,20451
False,Spoken L1 Language,0,0,0,,70,5737,mij,abar1238,"{""meds"": [[""315852"", ""long_grammar"", 2013, 585, ""Jesse Lovegren 2013""], [""129514"", ""wordlist_or_less"", 2002, 3, ""Hamm, Cameron and Diller, Jason and Jordan-Diller, Kari 2002""], [""566008"", ""wordlist_or_less"", 1990, 0, ""na 1990""]], ""links"": [{""label"": ""Mungbam"", ""url"": ""http://endangeredlanguages.com/lang/8809""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q34725""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Mungbam_language""}, {""label"": null, ""url"": ""https://phoible.org/languages/abar1238""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",6.5805,language,10.2267,Africa,,Mungbam,'Mungbam [abar1238][mij]-l-':1,8252
False,Spoken L1 Language,0,0,0,,334,334,aau,abau1245,"{""meds"": [[""22818"", ""long_grammar"", 2011, 495, ""Lock, Arnold 2011""], [""99298"", ""grammar"", 1990, 14, ""Arjen Lock and trans. 1990""], [""144322"", ""grammar_sketch"", 1975, 130, ""Bailey, David A. 1975""], [""120520"", ""phonology_or_text"", 1965, 2, ""Donald C. Laycock 1965""], [""128519"", ""wordlist_or_less"", 1962, 2, ""Arthur Capell 1962""]], ""links"": [{""label"": null, ""url"": ""http://crubadan.org/languages/aau""}, {""label"": ""Abau"", ""url"": ""http://endangeredlanguages.com/lang/10590""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abau_language""}, {""label"": null, ""url"": ""https://phoible.org/languages/abau1245""}, {""label"": ""Abau"", ""url"": ""https://wals.info/languoid/lect/wals_code_aba""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q3073568""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-3.97222,language,141.324,Papunesia,,Abau,'Abau [abau1245][aau]-l-':1,1143
False,Spoken L1 Language,3,0,0,,403,1682,abq,abaz1241,"{""meds"": [[""304081"", ""long_grammar"", 1976, 350, ""N. T. Tabulova 1976""], [""88213"", ""grammar"", 1955, 207, ""Genko, Anatolij N. 1955""], [""306773"", ""grammar_sketch"", 1954, 0, ""K. Lomatidze 1954""], [""565632"", ""wordlist_or_less"", 1814, 0, ""Klaproth, Julius 1814""]], ""links"": [{""label"": null, ""url"": ""http://crubadan.org/languages/abq""}, {""label"": ""Abaza"", ""url"": ""http://endangeredlanguages.com/lang/1415""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abaza_language""}, {""label"": ""Abaza"", ""url"": ""https://wals.info/languoid/lect/wals_code_abz""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q27567""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",44.25,language,42.0,Eurasia,,Abaza,"('Ashkaraua [ashk1247]':1,'Bezshagh [bezs1238]':1,'Tapanta [tapa1256]':1)'Abaza [abaz1241][abq]-l-':1",3355
False,Spoken L1 Language,4,0,0,,70,5784,aba,abee1242,"{""meds"": [[""85115"", ""grammar"", 1987, 233, ""Gbery, Eddy Aime 1987""], [""38125"", ""grammar_sketch"", 1983, 27, ""N'Guessan, J\u00e9r\u00e9mie Kouadio 1983""], [""55307"", ""wordlist_or_less"", 1971, 10, ""Dumestre, G\u00e9rard 1971""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q34833""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Ab%C3%A9_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",5.59682,language,-4.38497,Africa,,Abé,"('Abbey-Ve [abbe1238]':1,'Kos [koss1238]':1,'Morie [mori1266]':1,'Tioffo [tiof1238]':1)'Abé [abee1242][aba]-l-':1",8381
False,Spoken L1 Language,0,0,0,,208,6467,abp,aben1249,"{""meds"": [[""14827"", ""grammar_sketch"", 2009, 30, ""Wilhelm Nitsch 2009""], [""548932"", ""wordlist_or_less"", 1914, 12, ""Garvan, John M. 1914""], [""547280"", ""wordlist_or_less"", 1901, 11, ""Barrows, David P. 1901""]], ""links"": [{""label"": null, ""url"": ""http://crubadan.org/languages/abp""}, {""label"": ""Abellen Ayta"", ""url"": ""http://endangeredlanguages.com/lang/9669""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abellen_language""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q3436621""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",15.4131,language,120.2,Papunesia,,Abenlen Ayta,'Abenlen Ayta [aben1249][abp]-l-':1,9137
False,Spoken L1 Language,2,0,0,,70,5784,abi,abid1235,"{""meds"": [[""92944"", ""grammar"", 1992, 249, ""Tresbarats, Chantal and Vick, Ren\u00e9e 1992""], [""132426"", ""grammar"", 1986, 59, ""na 1986""], [""123170"", ""grammar_sketch"", 1983, 25, ""Tresbarats, Chantal 1983""], [""55307"", ""wordlist_or_less"", 1971, 10, ""Dumestre, G\u00e9rard 1971""], [""304065"", ""wordlist_or_less"", 1953, 11, ""de Lavergne de Tressan, M. 1953""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q34781""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abidji_language""}, {""label"": null, ""url"": ""https://phoible.org/languages/abid1235""}, {""label"": ""Abidji"", ""url"": ""https://wals.info/languoid/lect/wals_code_abd""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",5.65656,language,-4.58421,Africa,,Abidji,"('Enyembe [enye1238]':1,'Ogbru [ogbr1242]':1)'Abidji [abid1235][abi]-l-':1",8380
False,Spoken L1 Language,0,0,0,,,,bsa,abin1243,"{""meds"": [[""89329"", ""phonology_or_text"", 2007, 14, ""Mark Donohue and Simon Musgrave 2007""], [""554672"", ""wordlist_or_less"", 1999, 29, ""Fiwei, Christian and Tomas Kokoi and Klaus Fiwei and Yohanies Dude and Hubert Yamboi-Rumanasen and Aser Fiwei and Mark Donohue and Duane Clouse 1999""], [""90152"", ""wordlist_or_less"", 1984, 124, ""Peter J. Silzer and Helj\u00e4 Heikkinen 1984""], [""31963"", ""wordlist_or_less"", 1958, 2, ""Lagerberg, C.S.I.J 1958""]], ""links"": [{""label"": ""Abinomn"", ""url"": ""http://endangeredlanguages.com/lang/1763""}, {""label"": null, ""url"": ""https://www.wikidata.org/entity/Q56648""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abinomn_language""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-2.92281,language,138.891,Papunesia,,Abinomn,'Abinomn [abin1243][bsa]-l-':1,214
False,Spoken L1 Language,0,0,0,,16,458,axb,abip1241,"{""meds"": [[""63237"", ""long_grammar"", 1894, 367, ""Samuel A. Lafone Quevedo 1894""], [""26219"", ""phonology_or_text"", 1870, 7, ""Marietti, Petro 1870""], [""13948"", ""phonology_or_text"", 1787, 3, ""Lorenzo Hervas 1787""], [""475446"", ""wordlist_or_less"", 1784, 460, ""Martin Dobrizhoffer 1784""]], ""links"": [{""label"": null, ""url"": ""https://www.wikidata.org/entity/Q11252539""}, {""label"": null, ""url"": ""https://en.wikipedia.org/wiki/Abip%C3%B3n_language""}, {""label"": null, ""url"": ""https://phoible.org/languages/abip1241""}, {""label"": ""Abip\u00f3n"", ""url"": ""https://wals.info/languoid/lect/wals_code_abi""}], ""ethnologue_comment"": null, ""iso_retirement"": null}",-29.0,language,-61.0,South America,,Abipon,'Abipon [abip1241][axb]-l-':1,1957
