Name of Institution,Number of Women Faculty,Total Number of Faculty,Base rate (%)
Indian Institute of Science (IISc),41,515,7.9
National Centre for Biological Sciences (NCBS),13,35,37.1
Ashoka Trust for Research in Ecology and Environment (ATREE),6,23,26.1
Translational Health Science and Technology Institute (THSTI),16,48,33.3
Raman Research Institute (RRI),10,44,27.7
Jawaharlal Nehru Centre for Advanced Scientific Research (JNCASR),9,50,18
Centre for Cellular and Molecular Biology (CCMB),5,28,17.9
Centre for DNA Fingerprinting and Diagnostics (CDFD),5,17,29.4
Tata Institute of Fundamental research (TIFR) – Mumbai,11,124,8.9
Tata Institute of Fundamental research (TIFR) – Hyderabad,1,27,3.7
Tata Institute of Fundamental research (TIFR) – International Centre for Theoretical Sciences (ICTS),2,20,10
Council of Scientific and Industrial Research (CSIR) – Institute of Microbial Technology (IMTECH),7,50,14
Indian Institute of Technology (IIT) – Madras,46,564,8.2
Indian Institute of Technology (IIT) – Bombay,73,627,11.6
Indian Institute of Technology (IIT) – Hyderabad,18,239,7.5
Indian Institute of Technology (IIT) – Kanpur,32,440,7.27
Indian Institute of Technology (IIT) – Delhi,59,489,12.1
Indian Institute of Technology (IIT) – Guwahati,39,386,10.1
Indian Institute of Technology (IIT) – Roorkee,45,389,11.6
Indian Institute of Technology (IIT) – Mandi,16,114,14
Indian Institute of Technology (IIT) – Ropar,19,161,11.8
Indian Institute of Technology (IIT) – Indore,11,147,7.5
Indian Institute of Technology (IIT) – Palakkad,17,86,19.8
Indian Institute of Technology (IIT) – Goa,5,39,12.8
Indian Institute of Technology (IIT) – Dhanbad,19,290,6.6
Indian Institute of Technology (IIT) – Dharwad,3,54,5.6
Indian Institute of Technology (IIT) – Patna,6,116,5.2
Indian Institute of Technology (IIT) – Bhilai,1,46,2.2
Indian Institute of Technology (IIT) – Jammu,5,76,6.6
Indian Institute of Technology (IIT) – Jodhpur,26,134,19.4
Indian Institute of Technology (IIT) – Bhuvaneshwar,10,123,8.1
Indian Institute of Technology (IIT) Banaras Hindu University (BHU) – Varanasi,28,245,11.4
"Indian Institute of Science Education and Research (IISER), Behrampur",3,31,9.7
"Indian Institute of Science Education and Research (IISER), Bhopal",15,130,11.5
"Indian Institute of Science Education and Research (IISER), Kolkata",19,126,15.1
"Indian Institute of Science Education and Research (IISER), Mohali",13,88,14.8
"Indian Institute of Science Education and Research (IISER), Pune",22,124,17.8
"National Institute of Science Education and Research (NISER), Bhubaneswar",8,95,8.4
"Institute of Stem Cell Science and Regenerative Medicine (InStem), Bangalore",4,16,25
Ashoka University,7,35,20
Institute of Bioinformatics and Applied Biology (IBAB),6,17,35.3
